"n","d","m","ar","nls","nnls","nls2","nnls2","td","ntd","td2","ntd2"
75,11,12,0.5,0.0705,2000,0.067,2000,0.146,2000,0.106,2000
125,11,12,0.5,0.081,2000,0.0825,2000,0.1605,2000,0.125,2000
200,11,12,0.5,0.1075,2000,0.097,2000,0.2035,2000,0.17,2000
500,11,12,0.5,0.265,2000,0.2105,2000,0.4405,2000,0.3565,2000
1000,11,12,0.5,0.472,2000,0.4395,2000,0.663,2000,0.6505,2000
75,23,12,0.5,0.385,2000,0.0785,2000,0.657,2000,0.286,2000
125,23,12,0.5,0.6705,2000,0.159,2000,0.8425,2000,0.427,2000
200,23,12,0.5,0.9645,2000,0.2755,2000,0.975,2000,0.5965,2000
500,23,12,0.5,1,2000,0.725,2000,1,2000,0.9055,2000
1000,23,12,0.5,1,2000,0.97,2000,1,2000,0.992,2000
75,11,24,0.5,0.07,2000,0.052,2000,0.1255,2000,0.113,2000
125,11,24,0.5,0.0835,2000,0.0785,2000,0.1705,2000,0.1445,2000
200,11,24,0.5,0.116,2000,0.088,2000,0.2325,2000,0.1885,2000
500,11,24,0.5,0.2345,2000,0.1945,2000,0.46,2000,0.394,2000
1000,11,24,0.5,0.469,2000,0.411,2000,0.681,2000,0.6555,2000
75,23,24,0.5,0.368,2000,0.106,2000,0.6655,2000,0.273,2000
125,23,24,0.5,0.7405,2000,0.245,2000,0.8665,2000,0.4135,2000
200,23,24,0.5,0.952,2000,0.4265,2000,0.9635,2000,0.6045,2000
500,23,24,0.5,1,2000,0.871,2000,1,2000,0.936,2000
1000,23,24,0.5,1,2000,0.9925,2000,1,2000,0.998,2000
75,47,24,0.5,0.7645,2000,0.1125,2000,0.9005,2000,0.325,2000
125,47,24,0.5,0.9985,2000,0.183591795897949,1999,0.9845,2000,0.4095,2000
200,47,24,0.5,1,2000,0.3225,2000,1,2000,0.5085,2000
500,47,24,0.5,1,2000,0.676,2000,1,2000,0.741,2000
1000,47,24,0.5,1,2000,0.9355,2000,1,2000,0.941,2000
75,11,12,0.9,0.0745,2000,0.0568816658202133,1969,0.1735,2000,0.173096446700508,1970
125,11,12,0.9,0.092,2000,0.0700350175087544,1999,0.249496981891348,1988,0.12525354969574,1972
200,11,12,0.9,0.1345,2000,0.084,2000,0.386,2000,0.158,2000
500,11,12,0.9,0.3125,2000,0.219,2000,0.7125,2000,0.4265,2000
1000,11,12,0.9,0.626,2000,0.413,2000,0.9195,2000,0.7995,2000
75,23,12,0.9,0.8275,2000,0.0756513026052104,1996,0.9965,2000,0.292146073036518,1999
125,23,12,0.9,0.992,2000,0.128951329653788,1993,1,2000,0.444611528822055,1995
200,23,12,0.9,1,2000,0.176,2000,1,2000,0.5395,2000
500,23,12,0.9,1,2000,0.451951951951952,1998,1,2000,0.904,2000
1000,23,12,0.9,1,2000,0.702702702702703,1998,1,2000,0.990981963927856,1996
75,11,24,0.9,0.0695,2000,0.0548289738430583,1988,0.1865,2000,0.147795591182365,1996
125,11,24,0.9,0.097,2000,0.0545,2000,0.262361251261352,1982,0.136432541687721,1979
200,11,24,0.9,0.1245,2000,0.091,2000,0.3645,2000,0.20360180090045,1999
500,11,24,0.9,0.26,2000,0.1645,2000,0.6715,2000,0.473,2000
1000,11,24,0.9,0.6315,2000,0.414,2000,0.9345,2000,0.781,2000
75,23,24,0.9,0.82,2000,0.106053026513257,1999,0.9955,2000,0.248,2000
125,23,24,0.9,0.997,2000,0.175262894341512,1997,1,2000,0.3755,2000
200,23,24,0.9,1,2000,0.2925,2000,1,2000,0.48224112056028,1999
500,23,24,0.9,1,2000,0.645,2000,1,2000,0.835,2000
1000,23,24,0.9,1,2000,0.903,2000,1,2000,0.981990995497749,1999
75,47,24,0.9,1,2000,0.0896344516775163,1997,1,2000,0.290872617853561,1994
125,47,24,0.9,1,2000,0.134683544303797,1975,1,2000,0.407707910750507,1972
200,47,24,0.9,1,2000,0.212622866011381,1933,1,1999,0.537206931702345,1962
500,47,24,0.9,1,2000,0.427099433281813,1941,1,2000,0.753674607197162,1973
1000,47,24,0.9,1,1997,0.736927223719677,1855,1,2000,0.934118907337975,1867
