"n","d","m","ar","nls","nnls","td","ntd","td2","ntd2"
75,11,12,0.5,0.079,2000,0.0605,2000,0,2000
125,11,12,0.5,0.0655,2000,0.0525,2000,0,2000
200,11,12,0.5,0.0505,2000,0.055,2000,0,2000
500,11,12,0.5,0.047,2000,0.05,2000,0,2000
1000,11,12,0.5,0.0605,2000,0.0485,2000,0,2000
75,23,12,0.5,0.1165,2000,0.0555,2000,0,2000
125,23,12,0.5,0.081,2000,0.06,2000,0,2000
200,23,12,0.5,0.065,2000,0.057,2000,0,2000
500,23,12,0.5,0.0505,2000,0.052,2000,0,2000
1000,23,12,0.5,0.059,2000,0.061,2000,0,2000
75,11,24,0.5,0.073,2000,0.064,2000,0,2000
125,11,24,0.5,0.063,2000,0.0455,2000,0,2000
200,11,24,0.5,0.06,2000,0.056,2000,0,2000
500,11,24,0.5,0.067,2000,0.0465,2000,0,2000
1000,11,24,0.5,0.0525,2000,0.056,2000,0,2000
75,23,24,0.5,0.1175,2000,0.048,2000,0,2000
125,23,24,0.5,0.0835,2000,0.055,2000,0,2000
200,23,24,0.5,0.0665,2000,0.057,2000,0,2000
500,23,24,0.5,0.0635,2000,0.0435,2000,0,2000
1000,23,24,0.5,0.048,2000,0.0555,2000,0,2000
75,47,24,0.5,0.26,2000,0.0615,2000,0,2000
125,47,24,0.5,0.116,2000,0.0575,2000,0,2000
200,47,24,0.5,0.098,2000,0.05,2000,0,1999
500,47,24,0.5,0.072,2000,0.0485,2000,0,2000
1000,47,24,0.5,0.0565,2000,0.0510255127563782,1999,0,1999
75,11,12,0.9,0.085,2000,0.057,2000,0.0145801910507793,1989
125,11,12,0.9,0.0625,2000,0.064,2000,0.00951427140711067,1997
200,11,12,0.9,0.0585,2000,0.06,2000,0.0025,2000
500,11,12,0.9,0.0515,2000,0.051,2000,0,1997
1000,11,12,0.9,0.0535,2000,0.0485,2000,0,1999
75,23,12,0.9,0.117,2000,0.058,2000,0.00601202404809619,1996
125,23,12,0.9,0.0905,2000,0.057,2000,0.00251130085384229,1991
200,23,12,0.9,0.0635,2000,0.055,2000,0,1994
500,23,12,0.9,0.0595,2000,0.053,2000,0,2000
1000,23,12,0.9,0.0425,2000,0.0535267633816908,1999,0,1992
75,11,24,0.9,0.0765,2000,0.0605,2000,0.004004004004004,1998
125,11,24,0.9,0.065,2000,0.054,2000,0.00150075037518759,1999
200,11,24,0.9,0.062,2000,0.048,2000,0,2000
500,11,24,0.9,0.0485,2000,0.052,2000,0,2000
1000,11,24,0.9,0.0525,2000,0.049,2000,0,2000
75,23,24,0.9,0.106,2000,0.063,2000,5e-04,2000
125,23,24,0.9,0.079,2000,0.0585,2000,0.00100150225338007,1997
200,23,24,0.9,0.069,2000,0.053,2000,0,1997
500,23,24,0.9,0.0615,2000,0.048,2000,0,1999
1000,23,24,0.9,0.055527763881941,1999,0.0500250125062531,1999,0,1995
75,47,24,0.9,0.253,2000,0.066,2000,0.00301053687907677,1993
125,47,24,0.9,0.1105,2000,0.0585,2000,0,1977
200,47,24,0.9,0.074,2000,0.0550275137568784,1999,0.000530785562632696,1884
500,47,24,0.9,0.065,2000,0.049,2000,0,1986
1000,47,24,0.9,0.0600600600600601,1998,0.0495991983967936,1996,0,1706
