"n","d","m","ar","nls","nnls","nls2","nnls2","td","ntd","td2","ntd2"
75,11,12,0.5,0.108,2000,0.5095,2000,0.141,2000,0.2485,2000
125,11,12,0.5,0.1105,2000,0.4315,2000,0.171,2000,0.243,2000
200,11,12,0.5,0.1235,2000,0.3625,2000,0.213,2000,0.272,2000
500,11,12,0.5,0.2435,2000,0.369,2000,0.425,2000,0.442,2000
1000,11,12,0.5,0.4795,2000,0.533,2000,0.674,2000,0.675,2000
75,23,12,0.5,0.5435,2000,0.9575,2000,0.7335,2000,0.7175,2000
125,23,12,0.5,0.7845,2000,0.9755,2000,0.8825,2000,0.784,2000
200,23,12,0.5,0.9675,2000,0.9945,2000,0.979,2000,0.8675,2000
500,23,12,0.5,1,2000,1,2000,1,2000,0.9875,2000
1000,23,12,0.5,1,2000,1,2000,1,2000,1,2000
75,11,24,0.5,0.0935,2000,0.484,2000,0.1315,2000,0.249,2000
125,11,24,0.5,0.103,2000,0.4195,2000,0.1545,2000,0.244,2000
200,11,24,0.5,0.1185,2000,0.372,2000,0.2335,2000,0.3025,2000
500,11,24,0.5,0.25,2000,0.3645,2000,0.464,2000,0.477,2000
1000,11,24,0.5,0.4655,2000,0.526,2000,0.6765,2000,0.684,2000
75,23,24,0.5,0.538,2000,0.936,2000,0.7075,2000,0.699,2000
125,23,24,0.5,0.7935,2000,0.972,2000,0.895,2000,0.7785,2000
200,23,24,0.5,0.958,2000,0.994,2000,0.9775,2000,0.873,2000
500,23,24,0.5,1,2000,1,2000,1,2000,0.988,2000
1000,23,24,0.5,1,2000,1,2000,1,2000,1,2000
75,47,24,0.5,0.964,2000,0.9985,2000,0.968,2000,0.829,2000
125,47,24,0.5,1,2000,1,1999,0.9985,2000,0.839,2000
200,47,24,0.5,1,2000,1,2000,1,2000,0.872,2000
500,47,24,0.5,1,2000,1,2000,1,2000,0.962,2000
1000,47,24,0.5,1,2000,1,2000,1,2000,0.9955,2000
75,11,12,0.9,0.101,2000,0.82122905027933,1969,0.1965,2000,0.531979695431472,1970
125,11,12,0.9,0.1165,2000,0.777888944472236,1999,0.260060362173038,1988,0.477687626774848,1972
200,11,12,0.9,0.1505,2000,0.7325,2000,0.384,2000,0.503,2000
500,11,12,0.9,0.3195,2000,0.736,2000,0.7075,2000,0.6985,2000
1000,11,12,0.9,0.6215,2000,0.799,2000,0.9185,2000,0.8885,2000
75,23,12,0.9,0.9195,2000,0.999498997995992,1996,0.998,2000,0.906453226613307,1999
125,23,12,0.9,0.9965,2000,1,1993,1,2000,0.913784461152882,1995
200,23,12,0.9,1,2000,1,2000,1,2000,0.9615,2000
500,23,12,0.9,1,2000,1,1998,1,2000,0.996,2000
1000,23,12,0.9,1,2000,1,1998,1,2000,1,1996
75,11,24,0.9,0.1065,2000,0.770120724346076,1988,0.204,2000,0.460420841683367,1996
125,11,24,0.9,0.114,2000,0.738,2000,0.273965691220989,1982,0.44466902475998,1979
200,11,24,0.9,0.14,2000,0.6865,2000,0.3825,2000,0.48024012006003,1999
500,11,24,0.9,0.31,2000,0.66,2000,0.6905,2000,0.658,2000
1000,11,24,0.9,0.6245,2000,0.7615,2000,0.928,2000,0.873,2000
75,23,24,0.9,0.9325,2000,0.998999499749875,1999,0.998,2000,0.8955,2000
125,23,24,0.9,0.9985,2000,1,1997,1,2000,0.928,2000
200,23,24,0.9,1,2000,1,2000,1,2000,0.937968984492246,1999
500,23,24,0.9,1,2000,1,2000,1,2000,0.991,2000
1000,23,24,0.9,1,2000,1,2000,1,2000,0.998499249624812,1999
75,47,24,0.9,1,2000,1,1997,1,2000,0.958375125376128,1994
125,47,24,0.9,1,2000,1,1975,1,2000,0.961460446247465,1972
200,47,24,0.9,1,2000,1,1933,1,1999,0.966360856269113,1962
500,47,24,0.9,1,2000,1,1941,1,2000,0.988342625443487,1973
1000,47,24,0.9,1,1997,1,1855,1,2000,0.998393144081414,1867
