"n","d","m","ar","nls","nnls","nls2","nnls2","td","ntd","td2","ntd2"
75,11,12,0.5,0.061,2000,0.049,2000,0.142,2000,0.1285,2000
125,11,12,0.5,0.081,2000,0.0665,2000,0.1725,2000,0.153,2000
200,11,12,0.5,0.109,2000,0.0895,2000,0.214,2000,0.1945,2000
500,11,12,0.5,0.23,2000,0.2035,2000,0.423,2000,0.3875,2000
1000,11,12,0.5,0.474,2000,0.4385,2000,0.6735,2000,0.648,2000
75,23,12,0.5,0.2925,2000,0.0825,2000,0.6925,2000,0.231,2000
125,23,12,0.5,0.658,2000,0.197,2000,0.8595,2000,0.3745,2000
200,23,12,0.5,0.955,2000,0.3675,2000,0.9725,2000,0.544,2000
500,23,12,0.5,1,2000,0.785,2000,1,2000,0.8805,2000
1000,23,12,0.5,1,2000,0.98,2000,1,2000,0.989,2000
75,11,24,0.5,0.057,2000,0.044,2000,0.1335,2000,0.1215,2000
125,11,24,0.5,0.078,2000,0.059,2000,0.1545,2000,0.147,2000
200,11,24,0.5,0.1045,2000,0.078,2000,0.2315,2000,0.2175,2000
500,11,24,0.5,0.237,2000,0.1995,2000,0.4625,2000,0.4265,2000
1000,11,24,0.5,0.4605,2000,0.417,2000,0.675,2000,0.653,2000
75,23,24,0.5,0.2775,2000,0.055,2000,0.6685,2000,0.2825,2000
125,23,24,0.5,0.6815,2000,0.1965,2000,0.8705,2000,0.439,2000
200,23,24,0.5,0.942,2000,0.4145,2000,0.9685,2000,0.6185,2000
500,23,24,0.5,1,2000,0.874,2000,1,2000,0.936,2000
1000,23,24,0.5,1,2000,0.9925,2000,1,2000,0.9985,2000
75,47,24,0.5,0.1145,2000,0.0025,2000,0.9135,2000,0.277,2000
125,47,24,0.5,0.9955,2000,0.180090045022511,1999,0.987,2000,0.3865,2000
200,47,24,0.5,1,2000,0.3535,2000,1,2000,0.478,2000
500,47,24,0.5,1,2000,0.7295,2000,1,2000,0.717,2000
1000,47,24,0.5,1,2000,0.9505,2000,1,2000,0.934,2000
75,11,12,0.9,0.058,2000,0.0436769933976638,1969,0.1975,2000,0.254314720812183,1970
125,11,12,0.9,0.091,2000,0.0635317658829415,1999,0.259557344064386,1988,0.216531440162272,1972
200,11,12,0.9,0.13,2000,0.093,2000,0.3835,2000,0.2755,2000
500,11,12,0.9,0.3115,2000,0.195,2000,0.708,2000,0.5175,2000
1000,11,12,0.9,0.615,2000,0.4255,2000,0.918,2000,0.8045,2000
75,23,12,0.9,0.747,2000,0.0851703406813627,1996,0.9975,2000,0.250625312656328,1999
125,23,12,0.9,0.9915,2000,0.161063723030607,1993,1,2000,0.364912280701754,1995
200,23,12,0.9,1,2000,0.2405,2000,1,2000,0.502,2000
500,23,12,0.9,1,2000,0.538038038038038,1998,1,2000,0.8775,2000
1000,23,12,0.9,1,2000,0.788288288288288,1998,1,2000,0.988977955911824,1996
75,11,24,0.9,0.0695,2000,0.0407444668008048,1988,0.203,2000,0.189879759519038,1996
125,11,24,0.9,0.088,2000,0.0495,2000,0.27648839556004,1982,0.185952501263264,1979
200,11,24,0.9,0.119,2000,0.0735,2000,0.384,2000,0.230615307653827,1999
500,11,24,0.9,0.302,2000,0.186,2000,0.6885,2000,0.509,2000
1000,11,24,0.9,0.6175,2000,0.3965,2000,0.928,2000,0.7845,2000
75,23,24,0.9,0.774,2000,0.0670335167583792,1999,0.996,2000,0.3215,2000
125,23,24,0.9,0.994,2000,0.14972458688032,1997,1,2000,0.4505,2000
200,23,24,0.9,1,2000,0.2715,2000,1,2000,0.572286143071536,1999
500,23,24,0.9,1,2000,0.625,2000,1,2000,0.8705,2000
1000,23,24,0.9,1,2000,0.8975,2000,1,2000,0.988994497248624,1999
75,47,24,0.9,0.989,2000,0.0135202804206309,1997,1,2000,0.289368104312939,1994
125,47,24,0.9,1,2000,0.125063291139241,1975,1,2000,0.376267748478702,1972
200,47,24,0.9,1,2000,0.245732022762545,1933,1,1999,0.501019367991845,1962
500,47,24,0.9,1,2000,0.534775888717156,1941,1,2000,0.70045615813482,1973
1000,47,24,0.9,1,1997,0.81832884097035,1855,1,2000,0.918585966791644,1867
