"n","d","m","ar","nls","nnls","nls2","nnls2","td","ntd","td2","ntd2"
75,11,12,0.5,0.0795,2000,0.818,2000,0.0475,2000,0.447,2000
125,11,12,0.5,0.067,2000,0.782,2000,0.058,2000,0.3955,2000
200,11,12,0.5,0.0615,2000,0.7105,2000,0.055,2000,0.3275,2000
500,11,12,0.5,0.044,2000,0.5655,2000,0.045,2000,0.2365,2000
1000,11,12,0.5,0.0545,2000,0.4145,2000,0.0565,2000,0.1455,2000
75,23,12,0.5,0.1155,2000,0.948,2000,0.064,2000,0.595,2000
125,23,12,0.5,0.085,2000,0.9145,2000,0.0565,2000,0.5385,2000
200,23,12,0.5,0.058,2000,0.9035,2000,0.048,2000,0.497,2000
500,23,12,0.5,0.06,2000,0.829,2000,0.054,2000,0.367,2000
1000,23,12,0.5,0.055,2000,0.7825,2000,0.056,2000,0.2855,2000
75,11,24,0.5,0.0755,2000,0.7995,2000,0.0595,2000,0.4345,2000
125,11,24,0.5,0.0655,2000,0.769,2000,0.0465,2000,0.4045,2000
200,11,24,0.5,0.0535,2000,0.7175,2000,0.048,2000,0.342,2000
500,11,24,0.5,0.0555,2000,0.568,2000,0.05,2000,0.2165,2000
1000,11,24,0.5,0.044,2000,0.428,2000,0.0475,2000,0.15,2000
75,23,24,0.5,0.115,2000,0.927,2000,0.051,2000,0.596,2000
125,23,24,0.5,0.0735,2000,0.8955,2000,0.0485,2000,0.5195,2000
200,23,24,0.5,0.063,2000,0.858,2000,0.0595,2000,0.4675,2000
500,23,24,0.5,0.0505,2000,0.7695,2000,0.044,2000,0.3245,2000
1000,23,24,0.5,0.049,2000,0.6785,2000,0.059,2000,0.246,2000
75,47,24,0.5,0.2505,2000,0.969,2000,0.065,2000,0.75,2000
125,47,24,0.5,0.12,2000,0.9705,2000,0.0595,2000,0.7125,2000
200,47,24,0.5,0.0845,2000,0.9485,2000,0.0465,2000,0.649,2000
500,47,24,0.5,0.056,2000,0.9175,2000,0.048,2000,0.557,2000
1000,47,24,0.5,0.0525,2000,0.903951975987994,1999,0.0575,2000,0.4725,2000
75,11,12,0.9,0.0695,2000,0.948820873055695,1993,0.058,2000,0.747230614300101,1986
125,11,12,0.9,0.0595,2000,0.9255,2000,0.055,2000,0.663663663663664,1998
200,11,12,0.9,0.0585,2000,0.908,2000,0.0485,2000,0.6165,2000
500,11,12,0.9,0.05,2000,0.853634085213033,1995,0.048,2000,0.526763381690845,1999
1000,11,12,0.9,0.046,2000,0.787,2000,0.0525262631315658,1999,0.425,2000
75,23,12,0.9,0.112,2000,0.985971943887776,1996,0.063,2000,0.825912956478239,1999
125,23,12,0.9,0.0885,2000,0.977911646586345,1992,0.058,2000,0.793690535803706,1997
200,23,12,0.9,0.059,2000,0.968436873747495,1996,0.048,2000,0.782674011016525,1997
500,23,12,0.9,0.059,2000,0.960960960960961,1998,0.0525,2000,0.684184184184184,1998
1000,23,12,0.9,0.051,2000,0.938508064516129,1984,0.0515,2000,0.622479838709677,1984
75,11,24,0.9,0.08,2000,0.9335,2000,0.0575,2000,0.68937875751503,1996
125,11,24,0.9,0.06,2000,0.897948974487244,1999,0.0545,2000,0.624812406203102,1999
200,11,24,0.9,0.052,2000,0.8915,2000,0.056,2000,0.5645,2000
500,11,24,0.9,0.0655,2000,0.808713069604407,1997,0.0565,2000,0.464,2000
1000,11,24,0.9,0.0475,2000,0.7375,2000,0.047,2000,0.3865,2000
75,23,24,0.9,0.1215,2000,0.979489744872436,1999,0.059,2000,0.834334334334334,1998
125,23,24,0.9,0.081,2000,0.966449674511768,1997,0.047,2000,0.789394697348674,1999
200,23,24,0.9,0.074,2000,0.958458458458458,1998,0.0485,2000,0.759379689844922,1999
500,23,24,0.9,0.0555,2000,0.9355,2000,0.0495,2000,0.685,2000
1000,23,24,0.9,0.0535,2000,0.908270676691729,1995,0.0525,2000,0.586519114688129,1988
75,47,24,0.9,0.2515,2000,0.994488977955912,1996,0.0625,2000,0.923385077616425,1997
125,47,24,0.9,0.125,2000,0.991939546599496,1985,0.065,2000,0.910606060606061,1980
200,47,24,0.9,0.0820410205102551,1999,0.988859416445623,1885,0.0510255127563782,1999,0.89691817215728,1882
500,47,24,0.9,0.057,2000,0.981151299032094,1963,0.051,2000,0.846696923852748,1983
1000,47,24,0.9,0.0646292585170341,1996,0.964221824686941,1677,0.0451807228915663,1992,0.778036025566531,1721
