"n","d","m","ar","nls","nnls","nls2","nnls2","td","ntd","td2","ntd2"
75,11,12,0.5,0.0405,2000,0.0355,2000,0.047,2000,0.067,2000
125,11,12,0.5,0.0505,2000,0.0405,2000,0.058,2000,0.068,2000
200,11,12,0.5,0.0495,2000,0.041,2000,0.0545,2000,0.0705,2000
500,11,12,0.5,0.0395,2000,0.0445,2000,0.0455,2000,0.0585,2000
1000,11,12,0.5,0.051,2000,0.0485,2000,0.0575,2000,0.051,2000
75,23,12,0.5,0.033,2000,0.051,2000,0.0605,2000,0.0355,2000
125,23,12,0.5,0.0465,2000,0.0725,2000,0.0565,2000,0.0295,2000
200,23,12,0.5,0.039,2000,0.082,2000,0.0475,2000,0.0335,2000
500,23,12,0.5,0.051,2000,0.0905,2000,0.055,2000,0.0275,2000
1000,23,12,0.5,0.0505,2000,0.089,2000,0.056,2000,0.036,2000
75,11,24,0.5,0.043,2000,0.038,2000,0.0625,2000,0.0545,2000
125,11,24,0.5,0.047,2000,0.0365,2000,0.0455,2000,0.052,2000
200,11,24,0.5,0.041,2000,0.044,2000,0.0495,2000,0.0625,2000
500,11,24,0.5,0.0525,2000,0.051,2000,0.052,2000,0.064,2000
1000,11,24,0.5,0.042,2000,0.0505,2000,0.0475,2000,0.0485,2000
75,23,24,0.5,0.0305,2000,0.022,2000,0.052,2000,0.0585,2000
125,23,24,0.5,0.0345,2000,0.032,2000,0.0515,2000,0.0625,2000
200,23,24,0.5,0.0425,2000,0.043,2000,0.057,2000,0.0605,2000
500,23,24,0.5,0.0405,2000,0.0515,2000,0.044,2000,0.056,2000
1000,23,24,0.5,0.041,2000,0.0425,2000,0.06,2000,0.058,2000
75,47,24,0.5,5e-04,2000,0,2000,0.058,2000,0.027,2000
125,47,24,0.5,0.02,2000,0.047,2000,0.06,2000,0.0375,2000
200,47,24,0.5,0.035,2000,0.0805,2000,0.0455,2000,0.027,2000
500,47,24,0.5,0.0405,2000,0.1005,2000,0.0475,2000,0.0285,2000
1000,47,24,0.5,0.045,2000,0.0920460230115058,1999,0.0575,2000,0.041,2000
75,11,12,0.9,0.041,2000,0.0336176618163573,1993,0.058,2000,0.148036253776435,1986
125,11,12,0.9,0.049,2000,0.0475,2000,0.0545,2000,0.112612612612613,1998
200,11,12,0.9,0.0475,2000,0.0555,2000,0.0485,2000,0.1085,2000
500,11,12,0.9,0.0445,2000,0.0466165413533835,1995,0.048,2000,0.0935467733866933,1999
1000,11,12,0.9,0.0435,2000,0.0525,2000,0.0530265132566283,1999,0.085,2000
75,23,12,0.9,0.03,2000,0.0551102204408818,1996,0.0675,2000,0.0670335167583792,1999
125,23,12,0.9,0.044,2000,0.0758032128514056,1992,0.0565,2000,0.0435653480220331,1997
200,23,12,0.9,0.0375,2000,0.094689378757515,1996,0.046,2000,0.042563845768653,1997
500,23,12,0.9,0.051,2000,0.106606606606607,1998,0.053,2000,0.0265265265265265,1998
1000,23,12,0.9,0.046,2000,0.108366935483871,1984,0.052,2000,0.0297379032258065,1984
75,11,24,0.9,0.051,2000,0.034,2000,0.06,2000,0.100200400801603,1996
125,11,24,0.9,0.0425,2000,0.0410205102551276,1999,0.054,2000,0.0795397698849425,1999
200,11,24,0.9,0.0465,2000,0.0415,2000,0.0575,2000,0.061,2000
500,11,24,0.9,0.063,2000,0.0550826239359039,1997,0.0565,2000,0.062,2000
1000,11,24,0.9,0.046,2000,0.0455,2000,0.047,2000,0.063,2000
75,23,24,0.9,0.0315,2000,0.0240120060030015,1999,0.057,2000,0.1001001001001,1998
125,23,24,0.9,0.0405,2000,0.0350525788683025,1997,0.045,2000,0.105552776388194,1999
200,23,24,0.9,0.0485,2000,0.0375375375375375,1998,0.0495,2000,0.103051525762881,1999
500,23,24,0.9,0.047,2000,0.044,2000,0.0495,2000,0.0895,2000
1000,23,24,0.9,0.05,2000,0.0461152882205514,1995,0.053,2000,0.0824949698189135,1988
75,47,24,0.9,0,2000,0.000501002004008016,1996,0.0535,2000,0.0520781171757636,1997
125,47,24,0.9,0.0195,2000,0.0423173803526448,1985,0.061,2000,0.0303030303030303,1980
200,47,24,0.9,0.0295147573786893,1999,0.0811671087533156,1885,0.0540270135067534,1999,0.0239107332624867,1882
500,47,24,0.9,0.04,2000,0.107997962302598,1963,0.0535,2000,0.0206757438224912,1983
1000,47,24,0.9,0.0556112224448898,1996,0.110316040548599,1677,0.0456827309236948,1992,0.0226612434631028,1721
